id_question,thème,question,choix,réponse_initiale,réponse_validée,statut,référence_document,référence_section_page,explication_courte,remarque_pédagogique
RADAR-001,Surveillance ATS / Radar,Le minimum de séparation horizontale en route fondé sur radar ou ADS-B dans la CTA Agadir est :,3 NM | 5 NM | 7 NM | 10 NM,7 NM,7 NM,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4, Séparation radar/ADS-B",Le MANEX Agadir fixe localement 7 NM en route pour radar/ADS-B.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-002,Surveillance ATS / Radar,La séparation radar/ADS-B ne doit être appliquée qu’entre :,Aéronefs identifiés | Tous les aéronefs affichés | Aéronefs VFR uniquement | Aéronefs sans transpondeur,Aéronefs identifiés,Aéronefs identifiés,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4, Séparation radar/ADS-B",La surveillance ne peut servir à séparer que des aéronefs identifiés.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-003,Surveillance ATS / Radar,La vérification de l’altitude-pression affichée au contrôleur est faite :,Avant chaque transfert | Lors du premier contact | Seulement en urgence | Après chaque changement de niveau,Lors du premier contact,Lors du premier contact,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.4",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-004,Surveillance ATS / Radar,La tolérance Mode C en espace RVSM est :,±100 ft | ±200 ft | ±300 ft | ±500 ft,±200 ft,±200 ft,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.4",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-005,Surveillance ATS / Radar,La tolérance Mode C hors espace RVSM est :,±100 ft | ±200 ft | ±300 ft | ±500 ft,±300 ft,±300 ft,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.4",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-006,Surveillance ATS / Radar,Un aéronef IFR dans la CTA Agadir doit être équipé d’un transpondeur :,Mode A seulement | Modes A+C | Mode S uniquement | Aucun transpondeur obligatoire,Modes A+C,Modes A+C,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.2",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-007,Surveillance ATS / Radar,Un VFR en classe E ou F dans la CTA Agadir doit être équipé :,Modes A+C | Mode A seulement | ADS-C uniquement | Aucun équipement,Modes A+C,Modes A+C,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.2.1",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-008,Surveillance ATS / Radar,"En cas de panne radio, le code transpondeur à utiliser est :",7500 | 7600 | 7700 | 2000,7600,7600,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 6",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-009,Surveillance ATS / Radar,"Dans le Doc4444, le code 7700 correspond à :",Panne radio | Intervention illicite | Urgence | Vol VFR,Urgence,Urgence,Validée Doc4444,Doc 4444,"Doc4444, §8.5.2",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-010,Surveillance ATS / Radar,"Dans le Doc4444, le code 7500 correspond à :",Intervention illicite | Urgence | Panne radio | Essai transpondeur,Intervention illicite,Intervention illicite,Validée Doc4444,Doc 4444,"Doc4444, §8.5.2",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
